fip,pop
1001,53061.79779
1003,352262.3305
1005,18981.84118
1007,19022.63125
1009,53392.69167
1011,7813.631006
1013,14497.62937
1015,86413.39702
1017,31421.67979
1019,20594.99458
1021,39667.25178
1023,8922.563645
1025,18153.31154
1027,9934.501282
1029,13301.03724
1031,54289.07814
1033,50303.23692
1035,8241.051678
1037,4977.900273
1039,33437.22705
1041,12607.74217
1043,85202.1232
1045,37574.74889
1047,22690.60738
1049,66019.54622
1051,90330.98846
1053,33109.20528
1055,88681.44739
1057,12301.97174
1059,30744.34594
1061,24279.84649
1063,4889.102392
1065,10091.33845
1067,15777.52103
1069,117805.3531
1071,41518.29691
1073,643085.6533
1075,10080.95187
1077,91585.79766
1079,23051.69059
1081,301556.716
1083,159068.7964
1085,5784.659654
1087,9087.60636
1089,460989.7444
1091,12728.975
1093,24128.85491
1095,97024.0693
1097,382615.991
1099,13814.85901
1101,204911.8367
1103,105180.9222
1105,5529.630351
1107,30076.67002
1109,38617.32022
1111,18428.18335
1113,99720.73236
1115,104537.1711
1117,291062.0111
1119,10971.69628
1121,68279.06085
1123,30467.16492
1125,286491.3266
1127,48030.56111
1129,12241.32405
1131,7115.681233
1133,17950.09278
2013,12101.44045
2016,22967.61742
2020,705597.7313
2050,40846.158
2060,1211.382832
2068,5631.156435
2070,11550.84085
2090,215195.5455
2100,5507.887975
2110,92172.29962
2122,148827.8858
2130,29815.64535
2150,28849.09321
2158,21224.11975
2164,2559.534085
2170,379394.0369
2180,20801.0862
2185,25133.30628
2188,14988.59674
2220,18449.66588
2240,11042.37565
2261,15611.3462
2282,1088.55337
2290,9139.782806
4001,61903.85815
4003,79805.11181
4005,181081.9532
4007,41040.74462
4009,41005.2155
4011,20407.31517
4012,16327.6631
4013,6872376.487
4015,196810.4163
4017,88849.62659
4019,1149778.348
4021,444125.958
4023,34224.48695
4025,264736.1519
4027,220276.2796
5001,13915.57919
5003,13136.1296
5005,36287.33645
5007,497239.3047
5009,34196.73273
5011,8335.688657
5013,3911.591699
5015,29169.33573
5017,6698.285807
5019,21961.3635
5021,10325.16381
5023,19916.00002
5025,5612.141271
5027,20536.2921
5029,17083.25274
5031,168034.1479
5033,57521.22038
5035,33670.27064
5037,13049.65352
5039,5011.818323
5041,7128.124813
5043,17015.16777
5045,183362.3269
5047,14242.7886
5049,9717.046534
5051,107292.0592
5053,17900.90802
5055,58485.92537
5057,16466.07653
5059,33419.29304
5061,10874.30888
5063,37979.54808
5065,12040.50857
5067,14363.43084
5069,42330.69232
5071,29627.4787
5073,3624.835352
5075,11937.08368
5077,6711.241457
5079,13170.27501
5081,7998.782539
5083,18219.68453
5085,87778.26044
5087,14197.66773
5089,11386.1626
5091,41024.07914
5093,27058.39334
5095,4204.528318
5097,5005.417329
5099,6033.781024
5101,4502.098908
5103,14430.71014
5105,8057.74614
5107,8684.133814
5109,7499.801757
5111,20035.35662
5113,16177.49447
5115,72106.7728
5117,4972.628541
5119,440903.8937
5121,12883.81596
5123,19281.06997
5125,194367.9575
5127,5228.413642
5129,5250.451828
5131,143300.987
5133,16774.16691
5135,14420.14606
5137,11627.70142
5139,29688.07268
5141,11262.52999
5143,398551.8215
5145,88246.44802
5147,3662.619988
5149,15568.79853
6001,2586608.36
6003,952.4123352
6005,29913.2151
6007,262561.0572
6009,35384.97002
6011,19829.61562
6013,1624373.359
6015,21495.00587
6017,185903.6264
6019,1157250.8
6021,25767.94541
6023,130849.9737
6025,199534.4144
6027,14331.84767
6029,1105231.848
6031,145239.2031
6033,53054.23858
6035,23261.52753
6037,11948407.26
6039,167071.0834
6041,300448.8225
6043,12232.13626
6045,71758.69012
6047,321011.1887
6049,4444.040614
6051,9768.654774
6053,506696.3104
6055,176213.2733
6057,85163.61389
6059,3968735.586
6061,506389.8104
6063,9068.777068
6065,3256782.579
6067,1941335.465
6069,76831.52185
6071,2642388.429
6073,4421606.926
6075,1435001.107
6077,929798.3939
6079,366853.3846
6081,1071188.822
6083,584262.6136
6085,2712135.173
6087,352797.2736
6089,162547.2414
6091,1635.860548
6093,29030.18008
6095,549115.2329
6097,580714.7241
6099,658299.5878
6101,93603.99001
6103,52371.95071
6105,7084.482349
6107,534920.0615
6109,42575.35724
6111,934609.1049
6113,318202.0009
6115,72937.42687
8001,862888.9179
8003,21411.68037
8005,1053719.903
8007,12778.07464
8009,2362.477007
8011,4207.110541
8013,532028.9954
8014,137001.2062
8015,23836.59066
8017,1500.886403
8019,10182.52653
8021,5777.735955
8023,3225.640156
8025,6390.723077
8027,4666.968003
8029,19459.69024
8031,1406480.906
8033,1184.758238
8035,571695.2646
8037,60206.4257
8039,35638.2098
8041,981203.5743
8043,43880.67621
8045,64937.28
8047,8088.661022
8049,12185.83997
8051,23808.51126
8053,350.9345526
8055,3849.312251
8057,1234.274754
8059,797489.2656
8061,1303.906738
8063,7559.171581
8065,9065.714031
8067,78543.31244
8069,627048.283
8071,7244.959783
8073,5656.589685
8075,20864.93093
8077,153383.9676
8079,573.700958
8081,6459.527771
8083,27180.36385
8085,29530.12869
8087,24205.57204
8089,14466.85156
8091,5470.076986
8093,16114.90662
8095,3266.549316
8097,24105.0105
8099,7122.31062
8101,190642.4117
8103,5454.016763
8105,7771.949775
8107,32328.33279
8109,5629.273013
8111,630.4098215
8113,11799.91939
8115,2601.841766
8117,46694.80586
8119,17461.87079
8121,4758.349802
8123,514478.3089
8125,8700.870054
9001,1088218.028
9003,901789.882
9005,133182.4719
9007,136722.3124
9009,830026.9746
9011,225394.3983
9013,134323.8345
9015,95051.95986
10001,236483.3785
10003,649068.1401
10005,311258.6831
11001,1231493.441
12001,364718.7773
12003,25102.74213
12005,255545.3412
12007,18681.05996
12009,715668.5747
12011,2946698.178
12013,12005.79114
12015,247148.0835
12017,125196.0223
12019,275147.722
12021,544931.782
12023,63057.79545
12027,31272.98776
12029,12670.6422
12031,1205258.44
12033,378513.8241
12035,157398.2552
12037,11218.09565
12039,31501.75994
12041,16597.41592
12043,17158.15596
12045,15042.70673
