fip,size
1001,45110.47973
1003,487735.5341
1005,9180.317463
1007,14870.52212
1009,44189.83955
1011,3851.88515
1013,9079.790255
1015,44704.19285
1017,25430.78929
1019,13699.57767
1021,21319.40789
1023,5747.846865
1025,11847.74429
1027,5714.756038
1029,9911.727432
1031,46792.97818
1033,36676.11845
1035,5035.474096
1037,2832.157722
1039,25108.98784
1041,9236.05532
1043,66943.3604
1045,22171.76795
1047,10284.60306
1049,36126.72609
1051,95289.5865
1053,21090.87248
1055,65372.63959
1057,7282.346851
1059,29477.8841
1061,16829.54278
1063,2610.040495
1065,6595.315148
1067,12673.04567
1069,110939.9759
1071,26384.64044
1073,474758.3808
1075,6221.625941
1077,81098.24693
1079,13600.35054
1081,474502.896
1083,230607.6683
1085,4956.616002
1087,6308.96547
1089,513622.7872
1091,7966.078724
1093,16340.6287
1095,74749.15374
1097,283391.4852
1099,8410.419919
1101,145133.5486
1103,67624.33009
1105,4694.858407
1107,35388.36984
1109,45455.16308
1111,11511.48647
1113,149250.6303
1115,106785.3315
1117,335870.0974
1119,13454.10435
1121,47219.52139
1123,15166.97787
1125,370519.8576
1127,29001.08396
1129,8379.088777
1131,3789.067724
1133,11553.63637
2013,6817.444439
2016,18578.18762
2020,474485.1897
2050,16947.48208
2060,676.6476004
2068,3537.872722
2070,5730.899325
2090,127150.843
2100,4279.382432
2110,69227.71673
2122,95359.84465
2130,15204.46162
2150,14311.09168
2158,10386.41252
2164,805.9855615
2170,288076.6165
2180,7932.672855
2185,11809.65431
2188,6994.107595
2220,9164.099679
2240,6752.061698
2261,7956.526342
2282,879.2033392
2290,3213.253158
4001,30279.04255
4003,35102.8589
4005,238853.179
4007,32484.55078
4009,42096.62352
4011,34051.64274
4012,17041.67212
4013,9247439.108
4015,136630.0103
4017,37281.428
4019,1321159.918
4021,393535.5921
4023,18164.61405
4025,256504.7272
4027,198880.1581
5001,8804.953288
5003,5625.559403
5005,28001.89117
5007,776430.6521
5009,25796.75543
5011,5721.41151
5013,2890.718014
5015,39497.42226
5017,3116.06093
5019,25897.15477
5021,6675.342103
5023,13303.23858
5025,3388.945362
5027,19796.54441
5029,11035.18995
5031,233250.6145
5033,49595.78942
5035,17173.17195
5037,7873.16842
5039,3905.986913
5041,6583.281589
5043,14334.64531
5045,250602.6887
5047,10443.11322
5049,6853.272333
5051,112247.2345
5053,13761.29366
5055,67684.31922
5057,9314.469269
5059,21414.63513
5061,10928.90642
5063,32741.06005
5065,10548.65564
5067,11275.76447
5069,21047.1983
5071,31173.09141
5073,1830.376269
5075,7441.043938
5077,4610.974077
5079,10008.09672
5081,4395.029007
5083,14858.04943
5085,87857.87781
5087,10871.49266
5089,8248.385046
5091,28325.14643
5093,11024.11146
5095,3277.923362
5097,2270.899098
5099,4689.081491
5101,1984.644574
5103,7418.441575
5105,5068.089366
5107,3052.663206
5109,2911.037111
5111,15358.23266
5113,13020.14849
5115,82343.16595
5117,2654.304609
5119,419172.8404
5121,6519.747394
5123,11449.35791
5125,279117.4777
5127,1301.540643
5129,3833.968913
5131,145847.9357
5133,11979.51403
5135,11491.86549
5137,9419.54885
5139,17950.24105
5141,4918.257472
5143,615279.9872
5145,91547.73074
5147,2576.653811
5149,6907.297157
6001,3234133.409
6003,1674.894928
6005,23465.25423
6007,282689.3045
6009,25754.83363
6011,13263.96449
6013,1901230.822
6015,16113.2586
6017,139623.2483
6019,1105898.596
6021,21236.14105
6023,120238.453
6025,352704.5109
6027,9996.870096
6029,1238059.038
6031,103966.9044
6033,41804.31759
6035,14678.53387
6037,10842927.92
6039,162781.1304
6041,303947.8886
6043,10186.94567
6045,50130.44668
6047,330492.6831
6049,1634.634941
6051,5762.128792
6053,519153.416
6055,190527.652
6057,49536.18788
6059,3903633.429
6061,547760.2601
6063,3391.892229
6065,3766593.998
6067,1961443.81
6069,85463.11169
6071,2909435.978
6073,4832501.518
6075,1966767.298
6077,971290.9094
6079,460686.6363
6081,1192523.381
6083,723187.5542
6085,2931428.798
6087,435763.378
6089,123024.5487
6091,1450.865355
6093,19312.37946
6095,571378.4305
6097,547835.0285
6099,719805.3475
6101,71584.13224
6103,34186.37976
6105,2894.209291
6107,513084.7165
6109,30368.69965
6111,864712.1955
6113,438149.6766
6115,54524.19963
8001,1211318.11
8003,28866.47643
8005,1412795.777
8007,11175.33213
8009,1263.31988
8011,2346.885416
8013,766278.0734
8014,204264.907
8015,26664.00687
8017,1021.932436
8019,10233.20352
8021,2619.156185
8023,2636.973308
8025,5348.844286
8027,4569.300364
8029,9092.563116
8031,2103724.728
8033,811.1714286
8035,751119.0249
8037,46999.82214
8039,44150.677
8041,1202070.052
8043,31942.62838
8045,55730.23396
8047,10058.22606
8049,8325.863484
8051,33852.15019
8053,195.5840763
8055,2156.144885
8057,839.5220011
8059,959767.6775
8061,1131.249316
8063,9229.843177
8065,9674.907079
8067,94984.00635
8069,952589.5775
8071,3922.043389
8073,4257.628302
8075,14765.37778
8077,123824.9783
8079,454.7544355
8081,2619.976102
8083,23364.44682
8085,12143.72929
8087,11046.91606
8089,9392.473969
8091,6251.357548
8093,11928.17459
8095,1949.691529
8097,30018.36672
8099,2899.598639
8101,196443.1254
8103,4158.612803
8105,4092.699301
8107,38793.55976
8109,4038.891478
8111,760.1432883
8113,16009.0864
8115,3487.808316
8117,61032.85269
8119,11981.62724
8121,3991.386113
8123,720400.2768
8125,5600.504983
9001,1149636.488
9003,865817.341
9005,87217.35962
9007,104400.2478
9009,791550.5319
9011,180368.7669
9013,127434.8676
9015,71186.83404
10001,275335.2247
10003,694960.5926
10005,367405.7526
11001,1847140.745
12001,482919.6031
12003,11664.16774
12005,288637.5903
12007,9228.417584
12009,776687.1558
12011,3970984.138
12013,6541.21193
12015,293609.178
12017,84454.30061
12019,287591.8294
12021,659014.6013
12023,45243.20121
12027,15516.63644
12029,8344.113303
12031,1319620.291
12033,386124.6781
12035,183380.6053
12037,7285.648457
12039,14479.93869
12041,11498.46358
12043,19164.02452
12045,10793.21089
12047,6344.284215
12049,7805.641535
12051,21966.45906
12053,205923.0981
12055,79893.50801
12057,2891557.599
12059,9759.725433
12061,211781.2588
12063,19331.80705
12065,3277.974299
12067,6186.158431
12069,698530.1689
12071,1726848.059
12073,519959.2447
12075,13168.55232
12077,6040.520423
12079,4683.813632
12081,848271.6024
12083,436193.0063
12085,232146.2912
12086,4866598.455
12087,151947.1485
12089,107006.3545
12091,425310.5317
12093,11814.36165
12095,3607781.295
12097,1269660.356
12099,2706978.936
12101,906363.9026
12103,1260357.083
12105,1271518.216
12107,15852.21451
12109,717468.777
12111,436884.9523
12113,303215.6656
12115,621965.0669
12117,755530.1482
12119,317038.9398
12121,34317.57937
12123,11337.52211
12125,9101.913278
12127,778902.3735
12129,22931.31823
12131,155138.2908
12133,13298.25244
13001,10442.53197
13003,4199.831178
13005,11277.56685
13007,357.9673362
13009,29320.27839
13011,11561.96782
13013,127579.3765
13015,83430.81695
13017,7651.892801
13019,6430.437304
13021,83345.69877
13023,8999.754778
13025,7005.786535
13027,5056.409268
13029,124958.7236
13031,112857.4203
13033,9671.283953
13035,11404.34235
13037,3507.925359
13039,33093.88718
13043,4429.473605
13045,136294.1233
13047,65978.95524
13049,11205.64077
13051,583863.2557
13053,10187.92598
13055,10904.44414
13057,484102.8353
13059,253852.8313
13061,1338.79405
13063,500446.2882
13065,7827.792262
13067,1555057.941
13069,36090.33493
13071,37985.57432
13073,496722.0436
13075,10357.17385
13077,257058.7025
13079,7038.967894
13081,8591.349217
13083,7329.573491
13085,26102.40805
13087,13790.87132
13089,1303135.265
13091,5884.632973
13093,10196.66053
13095,33127.35694
13097,322702.1371
13099,3987.880874
13101,2975.648212
13103,111943.2423
13105,5957.661356
13107,8495.759571
13109,5470.58899
13111,20129.4595
13113,163101.6104
13115,76097.10975
13117,792174.3183
13119,20768.10855
13121,2222401.833
13123,33792.21571
13125,2353.468457
13127,103363.2639
13129,41218.59593
13131,14664.82788
13133,20584.09792
13135,2443321.406
13137,52752.06536
13139,389328.9405
13141,3397.692701
13143,16475.1404
13145,41103.46297
13147,19491.66657
13149,4896.887305
13151,437836.2151
13153,235034.3905
13155,5006.341638
13157,80700.56601
13159,4022.397228
13161,12020.17093
13163,5145.214994
13165,11683.79499
13167,5429.643696
13169,17452.90984
13171,14176.4969
13173,7419.050201
13175,17159.59176
13177,34820.74004
13179,66919.10035
13181,2263.318494
13183,64184.62021
13185,133648.6332
13187,38739.03183
13189,10421.49011
13191,3635.343354
13193,4043.281669
13195,28189.37134
13197,3725.805031
13199,6135.838146
13201,3087.110905
13205,5423.5339
13207,23757.07713
13209,5522.310712
13211,10523.02046
13213,34727.33063
13215,254786.219
13217,175800.3774
13219,79772.14085
13221,9317.159286
13223,238313.5741
13225,14234.75242
13227,27204.86719
13229,16295.90313
13231,12316.94667
13233,25447.90384
13235,4740.234617
13237,9234.00477
13239,328.139191
13241,7824.285234
13243,3356.922195
13245,146283.6239
13247,181178.076
13249,8903.604455
13251,6545.309069
13253,2952.615294
13255,32290.23328
13257,11079.21541
13259,5086.3115
13261,5570.299779
13263,3674.904646
13265,415.8216894
13267,21403.51447
13269,2665.354285
13271,12081.03057
13273,3750.390955
13275,30675.70239
13277,32742.27704
13279,12921.96429
13281,19042.33835
13283,4344.660022
13285,94234.3475
13287,3470.81829
13289,2624.252269
13291,26161.70934
13293,7779.352611
13295,34015.20863
13297,123851.747
13299,18197.04683
13301,1134.168534
13303,9708.984078
13305,19481.40922
13307,631.5015184
13309,6792.15616
13311,38244.16379
13313,112774.6481
13315,4114.686014
13317,4599.050599
13319,3571.413317
13321,6225.718719
15001,398341.9754
15003,1764429.775
15005,52.98723597
15007,157204.5503
15009,316825.0062
16001,1148883.725
16003,1244.436031
16005,85103.16397
16007,4301.76331
16009,4223.402978
16011,12716.03872
16013,17220.59
16015,6221.75808
16017,39074.18008
16019,160315.9651
16021,9878.290204
16023,807.4394585
16025,749.8882372
16027,505641.2463
16029,2912.067413
16031,26501.08623
16033,351.6316811
16035,6981.879648
16037,2067.788976
16039,6005.6868
16041,7564.882717
16043,3941.678244
16045,12472.25524
16047,10641.96237
16049,11908.26893
16051,12746.88645
16053,34827.40002
16055,316458.5337
16057,88306.6089
16059,5437.0841
16061,4118.738806
16063,8749.067037
16065,41606.51076
16067,24787.05926
16069,55970.97666
16071,4233.55453
16073,5494.663295
16075,26672.59329
16077,6465.014723
16079,7028.199051
16081,12211.64093
16083,168212.2835
16085,11948.44251
16087,4571.557121
17001,34304.91576
17003,1350.113183
17005,6538.924453
17007,21495.08315
17009,5193.748038
17011,13106.9746
17013,1144.212001
17015,5004.222592
17017,3375.076649
17019,296405.8606
17021,11572.75279
17023,6736.586835
17025,4811.347901
17027,19266.94645
17029,34674.92884
17031,4188835.937
17033,8915.623286
17035,4721.789211
17037,88526.93025
17039,5736.212944
17041,14329.43045
17043,816255.2596
17045,4525.737161
17047,2422.522251
17049,17174.29134
17051,12861.34303
17053,7803.482849
17055,18462.03781
17057,13580.02752
17059,1774.860249
17061,4175.208412
17063,32966.23935
17065,3465.412483
17067,5846.198158
17069,1577.947604
17071,2285.304722
17073,23502.86684
17075,14978.68445
17077,55337.35897
17079,4960.473464
17081,19237.06683
17083,8545.873238
17085,8355.294748
17087,11536.06655
17089,380942.6007
17091,52439.4048
17093,168522.8599
17095,24091.99212
17097,457714.6836
17099,61338.57914
17101,9538.385793
17103,14638.6832
17105,12095.64538
17107,19225.81918
17109,33127.08125
17111,181246.5744
17113,158425.2144
17115,36467.91899
17117,15380.13242
17119,123953.1824
17121,16454.80727
17123,3325.805647
17125,3888.070206
17127,5665.87634
17129,6799.177125
17131,6110.789525
17133,28856.6497
17135,11368.72068
17137,14323.7079
17139,7963.048376
17141,18626.56975
17143,114492.6411
17145,8433.696667
17147,7294.961368
17149,6064.23533
17151,2194.756943
17153,1364.71204
17155,1353.612045
17157,16584.05775
17159,7190.630563
17161,90921.52282
17163,100498.968
17165,10301.64558
17167,122588.1154
17169,2553.309891
17171,1505.851594
17173,8030.410556
17175,1204.938364
17177,14595.56898
17179,66467.64172
17181,7880.277558
17183,26984.52086
17185,4889.615588
17187,14512.91811
17189,4999.792446
17191,9911.952142
17193,7493.844859
17195,22637.88258
17197,516214.9904
17199,51154.26892
17201,135336.0874
17203,27615.74994
18001,18125.54081
18003,424101.0582
18005,121046.544
18007,5139.120662
18009,5636.077614
18011,161165.3351
18013,9128.998092
18015,11349.75168
18017,20616.90256
18019,164077.7064
18021,14041.95464
18023,22235.9953
18025,3681.724756
18027,29798.7156
18029,22859.83711
18031,27191.7699
18033,20780.23927
18035,80686.54619
18037,28082.67096
18039,214087.6873
18041,6800.481635
18043,91906.84555
18045,6463.199099
18047,13697.8806
18049,13179.30633
18051,16216.75429
18053,39399.58189
18055,13975.61438
18057,754495.1593
18059,74181.35816
18061,26667.68112
18063,336510.4331
18065,26779.17251
18067,51705.33731
18069,22653.41768
18071,46320.58607
18073,21635.48893
18075,10856.94996
18077,25278.59052
18079,10713.8637
18081,257821.0754
18083,24110.19833
18085,74808.25323
18087,21407.36789
18089,426606.9192
18091,86458.83003
18093,26050.80262
18095,75670.24544
18097,1438201.112
18099,33285.20947
18101,3915.672029
18103,20855.92373
18105,303241.6328
18107,21144.74298
18109,43781.86083
18111,9813.302024
18113,31846.15346
18115,2129.411187
18117,12593.53308
18119,6686.321672
18121,12235.54618
18123,11986.5217
18125,6117.990225
18127,183722.4471
18129,13233.72112
18131,5364.915315
18133,28379.84694
18135,8986.016904
18137,17965.01595
18139,7103.732888
18141,245659.0399
18143,9340.090254
18145,29713.74629
