County,State,fip,Year,Percentage
Autauga County,Alabama,1001,2004,10.1
Baldwin County,Alabama,1003,2004,7.2
Barbour County,Alabama,1005,2004,9.6
Bibb County,Alabama,1007,2004,9.3
Blount County,Alabama,1009,2004,8.1
Bullock County,Alabama,1011,2004,11.5
Butler County,Alabama,1013,2004,10.3
Calhoun County,Alabama,1015,2004,9.2
Chambers County,Alabama,1017,2004,10.7
Cherokee County,Alabama,1019,2004,8.6
Chilton County,Alabama,1021,2004,8.4
Choctaw County,Alabama,1023,2004,10.5
Clarke County,Alabama,1025,2004,10.9
Clay County,Alabama,1027,2004,8.2
Cleburne County,Alabama,1029,2004,9.1
Coffee County,Alabama,1031,2004,9.9
Colbert County,Alabama,1033,2004,9.8
Conecuh County,Alabama,1035,2004,10.6
Coosa County,Alabama,1037,2004,10
Covington County,Alabama,1039,2004,9.2
Crenshaw County,Alabama,1041,2004,8.6
Cullman County,Alabama,1043,2004,8.7
Dale County,Alabama,1045,2004,10.3
Dallas County,Alabama,1047,2004,13
Dekalb County,Alabama,1049,2004,7.9
Elmore County,Alabama,1051,2004,8.2
Escambia County,Alabama,1053,2004,9.6
Etowah County,Alabama,1055,2004,8.2
Fayette County,Alabama,1057,2004,8.8
Franklin County,Alabama,1059,2004,8
Geneva County,Alabama,1061,2004,8
Greene County,Alabama,1063,2004,11.6
Hale County,Alabama,1065,2004,11.1
Henry County,Alabama,1067,2004,9.4
Houston County,Alabama,1069,2004,8.3
Jackson County,Alabama,1071,2004,8.3
Jefferson County,Alabama,1073,2004,8.4
Lamar County,Alabama,1075,2004,7.7
Lauderdale County,Alabama,1077,2004,7.7
Lawrence County,Alabama,1079,2004,9.3
Lee County,Alabama,1081,2004,8.8
Limestone County,Alabama,1083,2004,8.1
Lowndes County,Alabama,1085,2004,11.6
Macon County,Alabama,1087,2004,12.6
Madison County,Alabama,1089,2004,6.9
Marengo County,Alabama,1091,2004,10.3
Marion County,Alabama,1093,2004,8.5
Marshall County,Alabama,1095,2004,7.3
Mobile County,Alabama,1097,2004,8.6
Monroe County,Alabama,1099,2004,9.6
Montgomery County,Alabama,1101,2004,10.6
Morgan County,Alabama,1103,2004,8.6
Perry County,Alabama,1105,2004,11.5
Pickens County,Alabama,1107,2004,10.1
Pike County,Alabama,1109,2004,9.5
Randolph County,Alabama,1111,2004,8.5
Russell County,Alabama,1113,2004,10.3
Shelby County,Alabama,1117,2004,6.8
St. Clair County,Alabama,1115,2004,8.9
Sumter County,Alabama,1119,2004,11.8
Talladega County,Alabama,1121,2004,9.4
Tallapoosa County,Alabama,1123,2004,8.5
Tuscaloosa County,Alabama,1125,2004,8.3
Walker County,Alabama,1127,2004,9.3
Washington County,Alabama,1129,2004,9.1
Wilcox County,Alabama,1131,2004,10.8
Winston County,Alabama,1133,2004,8
Aleutians East Borough,Alaska,2013,2004,6.2
Aleutians West Census Area,Alaska,2016,2004,6.3
Anchorage Municipality,Alaska,2020,2004,5.1
Bethel Census Area,Alaska,2050,2004,6.3
Bristol Bay Borough,Alaska,2060,2004,6.1
Denali Borough,Alaska,2068,2004,5
Dillingham Census Area,Alaska,2070,2004,6.4
Fairbanks North Star Borough,Alaska,2090,2004,5.6
Haines Borough,Alaska,2100,2004,5.1
Hoonah-Angoon Census Area,Alaska,2105,2004,No Data
Juneau City and Borough,Alaska,2110,2004,4.8
Kenai Peninsula Borough,Alaska,2122,2004,5.6
Ketchikan Gateway Borough,Alaska,2130,2004,6
Kodiak Island Borough,Alaska,2150,2004,5.8
Kusilvak Census Area,Alaska,2158,2004,No Data
Lake and Peninsula Borough,Alaska,2164,2004,6.2
Matanuska-Susitna Borough,Alaska,2170,2004,5.6
Nome Census Area,Alaska,2180,2004,6.9
North Slope Borough,Alaska,2185,2004,6.5
Northwest Arctic Borough,Alaska,2188,2004,6.3
Petersburg Census Area,Alaska,2195,2004,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,2004,6.1
Prince of Wales-Hyder Censu,Alaska,2198,2004,No Data
Sitka City and Borough,Alaska,2220,2004,5.4
Skagway Municipality,Alaska,2230,2004,No Data
Skagway-Hoonah-Angoon,Alaska,2232,2004,5.7
Southeast Fairbanks Census Area,Alaska,2240,2004,5.9
Valdez-Cordova Census Area,Alaska,2261,2004,5.2
Wade Hampton Census Area,Alaska,2270,2004,6.2
Wrangell City and Borough,Alaska,2275,2004,No Data
Wrangell-Petersburg Census Area,Alaska,2280,2004,5.1
Yakutat City and Borough,Alaska,2282,2004,6.1
Yukon-Koyukuk Census Area,Alaska,2290,2004,6.2
Apache County,Arizona,4001,2004,10.5
Cochise County,Arizona,4003,2004,7.4
Coconino County,Arizona,4005,2004,6.1
Gila County,Arizona,4007,2004,6.4
Graham County,Arizona,4009,2004,7.4
Greenlee County,Arizona,4011,2004,6.6
La Paz County,Arizona,4012,2004,6.8
Maricopa County,Arizona,4013,2004,6.1
Mohave County,Arizona,4015,2004,6.3
Navajo County,Arizona,4017,2004,9
Pima County,Arizona,4019,2004,5.7
Pinal County,Arizona,4021,2004,8.4
Santa Cruz County,Arizona,4023,2004,5.6
Yavapai County,Arizona,4025,2004,6.2
Yuma County,Arizona,4027,2004,6
Arkansas County,Arkansas,5001,2004,8.9
Ashley County,Arkansas,5003,2004,8.4
Baxter County,Arkansas,5005,2004,7.1
Benton County,Arkansas,5007,2004,6.2
Boone County,Arkansas,5009,2004,7.9
Bradley County,Arkansas,5011,2004,8
Calhoun County,Arkansas,5013,2004,8.2
Carroll County,Arkansas,5015,2004,6.6
Chicot County,Arkansas,5017,2004,10.6
Clark County,Arkansas,5019,2004,8.1
Clay County,Arkansas,5021,2004,7.3
Cleburne County,Arkansas,5023,2004,6.7
Cleveland County,Arkansas,5025,2004,7.7
Columbia County,Arkansas,5027,2004,8.4
Conway County,Arkansas,5029,2004,8.3
Craighead County,Arkansas,5031,2004,7.2
Crawford County,Arkansas,5033,2004,7.4
Crittenden County,Arkansas,5035,2004,9.2
Cross County,Arkansas,5037,2004,7.8
Dallas County,Arkansas,5039,2004,9.3
