DMA,Ticks_2004,Ticks_2005,Ticks_2006,Ticks_2007,Ticks_2008,Ticks_2009,Ticks_2010,Ticks_2011,Ticks_2012,Ticks_2013,Ticks_2014,Ticks_2015,Ticks_2016,Ticks_2017
Abilene-Sweetwater TX,,,16,7,31,13,40,24,19,46,45,43,46,21
Albany GA,,52,7,11,13,12,13,36,17,15,18,13,16,12
Albany-Schenectady-Troy NY,13,29,20,12,35,32,36,54,45,54,59,44,47,54
Albuquerque-Santa Fe NM,3,17,12,10,14,18,16,20,15,26,31,20,25,20
Alexandria LA,,,54,25,100,31,,25,15,17,30,12,11,11
Alpena MI,,,,,,,,55,100,100,87,100,52,100
Amarillo TX,,33,35,5,24,16,7,28,50,54,46,23,43,24
Anchorage AK,,8,5,5,9,7,8,15,14,15,24,18,21,15
Atlanta GA,5,16,9,11,20,18,15,28,24,25,27,21,22,16
Augusta GA,11,,6,6,20,12,9,26,21,22,29,39,23,14
Austin TX,3,14,7,7,15,18,12,20,16,20,21,14,16,13
Bakersfield CA,8,18,6,11,26,8,18,37,27,36,42,27,33,24
Baltimore MD,6,21,12,10,22,22,14,30,23,30,28,22,22,20
Bangor ME,12,70,17,23,60,49,66,66,59,91,64,74,100,89
Baton Rouge LA,3,14,4,5,5,10,7,15,22,18,18,12,20,10
Beaumont-Port Arthur TX,11,,,18,9,7,28,23,14,16,20,9,12,11
Bend OR,27,64,14,11,13,27,13,16,24,16,21,23,29,28
"Billings, MT",12,29,18,16,10,31,21,46,34,20,29,36,37,25
Biloxi-Gulfport MS,,37,24,30,32,11,31,28,14,24,21,24,14,13
Binghamton NY,,,22,11,32,24,37,78,41,84,93,49,71,60
Birmingham AL,5,13,9,10,18,20,20,32,18,24,29,23,29,19
Bluefield-Beckley-Oak Hill WV,36,,,16,,45,33,22,42,23,36,29,34,24
Boise ID,7,14,15,9,21,22,20,22,11,25,26,28,20,17
Boston MA-Manchester NH,7,27,15,11,26,26,21,45,36,40,40,34,40,36
Bowling Green KY,12,,,15,19,34,7,58,52,29,44,32,22,29
Buffalo NY,4,22,7,6,18,13,23,27,22,31,27,28,27,39
Burlington VT-Plattsburgh NY,5,41,22,11,35,46,25,58,70,56,69,54,56,70
Butte-Bozeman MT,14,,12,12,25,27,14,27,16,31,23,25,26,18
Casper-Riverton WY,26,,,12,46,21,19,24,15,37,11,24,16,12
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,6,28,10,15,10,20,25,26,25,28,26,30,26,17
Champaign & Springfield-Decatur IL,6,45,10,8,13,10,17,25,21,28,32,15,22,18
Charleston SC,,12,6,11,18,30,28,27,17,21,19,17,15,13
Charleston-Huntington WV,7,18,7,9,10,9,22,24,25,34,43,30,36,26
Charlotte NC,4,15,9,10,18,20,13,27,21,27,20,17,20,16
Charlottesville VA,8,40,9,18,20,28,24,62,32,39,44,24,38,31
Chattanooga TN,6,,3,13,23,21,24,47,40,34,32,25,35,21
Cheyenne WY-Scottsbluff NE,9,,10,8,17,28,14,9,21,35,16,31,26,10
Chicago IL,3,15,10,9,15,17,14,29,25,33,27,19,21,18
Chico-Redding CA,7,,32,12,19,16,13,33,15,26,29,22,29,17
Cincinnati OH,2,7,9,7,23,20,11,23,17,25,23,18,20,17
Clarksburg-Weston WV,,,14,9,13,39,11,13,10,32,24,39,41,26
Cleveland-Akron (Canton) OH,4,12,9,9,19,18,15,27,22,35,30,26,30,29
Colorado Springs-Pueblo CO,5,7,7,11,12,15,16,14,15,13,16,9,18,15
Columbia SC,6,19,7,7,26,12,17,21,20,24,16,18,19,16
Columbia-Jefferson City MO,13,37,16,13,22,23,19,28,31,39,45,19,29,24
Columbus GA,,27,20,13,16,19,13,37,25,23,28,22,25,16
Columbus OH,6,10,8,8,18,20,21,28,27,37,34,25,28,23
Columbus-Tupelo-West Point MS,,,16,13,48,34,14,29,37,32,33,32,33,25
Corpus Christi TX,8,,15,14,24,31,21,18,25,38,29,22,28,16
Dallas-Ft. Worth TX,3,7,8,7,15,14,12,22,19,22,22,17,20,14
Davenport IA-Rock Island-Moline IL,4,46,4,11,25,9,19,30,28,32,30,28,25,16
Dayton OH,4,27,6,9,16,14,20,25,18,37,31,18,23,18
Denver CO,3,18,8,8,15,15,14,17,15,19,20,16,17,15
Des Moines-Ames IA,4,28,12,13,24,22,15,22,22,39,22,22,23,17
Detroit MI,3,14,8,8,17,15,14,25,19,39,31,28,30,29
Dothan AL,,,22,9,58,15,12,21,14,17,14,18,25,10
Duluth MN-Superior WI,7,,11,19,36,34,21,48,38,43,28,37,50,30
El Paso TX,10,13,9,7,19,11,8,14,17,26,29,19,23,18
Elmira NY,,,17,12,37,34,14,75,62,65,95,62,58,51
Erie PA,,23,10,8,52,17,21,41,43,49,55,30,44,41
Eugene OR,4,28,12,8,12,25,16,21,20,29,27,20,28,13
Eureka CA,38,,31,,30,28,24,45,26,26,34,35,41,35
Evansville IN,22,15,18,16,42,18,23,55,39,41,43,25,30,19
Fairbanks AK,,,,17,,31,33,17,11,15,22,27,17,17
Fargo-Valley City ND,4,22,6,14,22,24,22,15,25,35,33,27,29,27
Flint-Saginaw-Bay City MI,8,31,12,10,17,22,16,27,18,36,33,30,39,30
Florence-Myrtle Beach SC,12,,35,4,27,22,10,22,14,18,31,30,20,14
Fresno-Visalia CA,8,7,9,10,13,17,17,23,22,28,30,34,30,19
Ft. Myers-Naples FL,8,27,6,7,5,17,11,27,26,23,21,19,15,12
Ft. Smith-Fayetteville-Springdale-Rogers AR,,,8,10,29,14,18,44,29,42,41,38,35,26
Ft. Wayne IN,16,17,15,5,14,20,22,30,23,45,43,20,25,23
Gainesville FL,4,18,15,13,21,33,25,36,21,29,29,29,28,21
Glendive MT,,,,,,,,,,,,,,
Grand Junction-Montrose CO,,,21,6,13,11,20,29,13,19,21,18,17,7
Grand Rapids-Kalamazoo-Battle Creek MI,4,47,14,16,23,15,19,32,26,45,42,35,37,35
Great Falls MT,28,62,21,,21,59,,13,15,30,28,28,27,18
Green Bay-Appleton WI,5,21,15,15,18,32,27,44,24,43,35,31,31,29
Greensboro-High Point-Winston Salem NC,7,26,13,10,27,23,20,30,24,32,28,21,23,22
Greenville-New Bern-Washington NC,8,39,16,8,36,17,11,33,24,32,39,34,33,25
Greenville-Spartanburg SC-Asheville NC-Anderson SC,6,20,4,10,17,17,15,26,27,28,28,20,26,18
Greenwood-Greenville MS,100,,,,,,,38,19,17,11,16,17,8
Harlingen-Weslaco-Brownsville-McAllen TX,8,39,11,16,25,22,24,35,41,46,33,22,39,26
Harrisburg-Lancaster-Lebanon-York PA,7,27,14,13,27,31,22,36,30,31,42,34,35,35
Harrisonburg VA,8,,27,12,21,18,15,25,12,28,32,28,31,21
Hartford & New Haven CT,5,21,12,12,32,28,22,35,27,37,32,33,37,43
Hattiesburg-Laurel MS,,,26,14,,26,23,17,22,44,35,14,30,21
Helena MT,49,55,,14,30,29,22,32,10,36,45,26,27,13
Honolulu HI,3,21,8,6,18,16,20,27,22,25,23,17,19,12
Houston TX,3,14,7,6,12,15,14,21,18,20,21,18,16,11
Huntsville-Decatur (Florence) AL,7,27,11,17,29,12,14,28,28,29,28,25,31,25
Idaho Falls-Pocatello ID,,,29,7,25,23,8,24,29,32,27,27,16,20
Indianapolis IN,5,10,9,6,21,17,13,27,20,38,31,18,23,20
Jackson MS,3,8,5,8,22,21,13,28,19,17,29,18,18,14
Jackson TN,,21,19,21,41,31,27,23,24,58,44,24,37,22
Jacksonville FL,7,24,14,8,20,19,22,25,23,26,27,18,21,14
Johnstown-Altoona PA,9,22,32,15,36,46,33,94,55,45,73,49,46,47
Jonesboro AR,,,,18,18,44,25,28,12,45,27,35,43,28
Joplin MO-Pittsburg KS,,,15,14,45,25,11,22,26,33,36,30,47,34
Juneau AK,,,24,13,,23,19,26,8,24,22,17,19,21
Kansas City MO,5,22,11,12,22,22,16,26,30,42,36,23,25,19
Knoxville TN,3,31,12,15,37,30,23,34,35,29,34,31,33,26
La Crosse-Eau Claire WI,5,50,21,14,37,26,25,37,35,51,35,36,37,25
Lafayette IN,,,28,7,27,27,15,24,14,22,36,28,27,18
Lafayette LA,,,10,3,12,6,9,15,10,24,13,14,16,12
Lake Charles LA,42,,,19,18,22,15,21,,18,24,15,17,7
Lansing MI,,,11,7,9,21,19,29,17,35,35,34,33,30
Laredo TX,,,,,57,53,52,44,38,43,54,28,29,23
Las Vegas NV,3,4,4,3,13,10,9,10,10,15,16,12,11,10
Lexington KY,8,7,12,15,29,26,22,29,26,34,35,23,32,27
Lima OH,,,,15,21,23,27,45,43,69,45,20,34,30
Lincoln & Hastings-Kearney NE,7,,11,9,20,29,18,26,20,29,27,25,23,18
Little Rock-Pine Bluff AR,6,12,17,15,19,26,19,31,22,37,42,29,37,25
Los Angeles CA,3,15,7,5,13,13,13,18,15,19,19,17,18,13
Louisville KY,4,6,7,12,31,24,23,32,30,41,40,26,31,21
Lubbock TX,15,,6,3,27,18,12,19,29,50,39,34,39,21
Macon GA,,61,16,4,21,18,12,30,22,27,33,26,31,20
Madison WI,6,48,10,19,18,17,23,34,28,47,43,34,35,29
Mankato MN,,69,33,11,25,32,19,42,18,26,24,30,29,17
Marquette MI,12,,24,24,31,40,21,57,26,43,65,36,43,39
Medford-Klamath Falls OR,14,37,16,10,22,11,21,44,29,35,46,30,34,22
Memphis TN,7,22,9,12,21,23,14,27,27,27,25,23,30,19
Meridian MS,,,84,,,,40,54,,29,41,28,17,29
Miami-Ft. Lauderdale FL,7,21,11,8,23,20,17,32,23,27,25,18,18,11
Milwaukee WI,4,14,13,16,21,21,23,39,22,41,30,29,29,25
Minneapolis-St. Paul MN,4,19,10,12,21,23,20,35,25,38,26,24,29,22
Minot-Bismarck-Dickinson(Williston) ND,,22,7,18,26,21,19,38,20,50,35,43,46,29
Missoula MT,18,45,18,13,38,30,14,38,15,20,31,38,22,20
Mobile AL-Pensacola (Ft. Walton Beach) FL,3,6,5,9,22,18,22,25,29,27,24,17,20,13
Monroe LA-El Dorado AR,21,63,,9,26,,21,36,17,21,16,24,20,16
Monterey-Salinas CA,8,11,8,4,18,25,12,33,18,25,26,19,28,18
Montgomery (Selma) AL,10,25,16,8,19,13,13,33,9,19,15,15,19,15
Nashville TN,12,28,14,14,35,34,23,36,28,41,41,27,31,23
New Orleans LA,3,5,7,6,8,13,14,15,22,23,28,17,17,12
New York NY,5,18,11,7,19,19,16,26,18,24,25,22,24,22
Norfolk-Portsmouth-Newport News VA,5,29,13,10,29,26,23,36,27,33,33,26,27,21
North Platte NE,,,,42,,89,,36,21,32,25,66,51,35
Odessa-Midland TX,21,,16,13,13,24,21,48,26,66,48,37,43,26
Oklahoma City OK,10,25,11,11,21,33,17,25,24,29,34,28,40,29
Omaha NE,3,27,11,11,17,18,24,17,19,27,24,25,26,17
Orlando-Daytona Beach-Melbourne FL,4,35,14,12,25,22,19,30,21,27,27,18,20,11
Ottumwa IA-Kirksville MO,16,,17,14,31,40,,79,24,55,30,19,25,31
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,,,11,17,24,36,27,38,35,50,41,29,28,26
Palm Springs CA,30,,7,8,16,17,15,13,13,16,26,23,19,12
Panama City FL,11,,9,11,21,18,17,29,9,25,28,23,24,17
Parkersburg WV,,,64,100,79,,100,18,35,25,19,22,29,14
Peoria-Bloomington IL,6,,8,9,6,9,11,22,23,33,32,23,25,14
Philadelphia PA,6,25,13,10,23,25,17,30,24,31,28,25,27,25
Phoenix AZ,6,14,10,9,16,20,19,26,23,30,32,25,28,20
Pittsburgh PA,5,16,13,11,22,26,23,66,38,65,61,51,44,38
Portland OR,4,12,7,8,15,14,13,18,14,12,12,12,19,12
Portland-Auburn ME,9,38,34,19,56,43,45,73,62,63,66,66,79,61
Presque Isle ME,,,100,48,,100,68,88,61,43,100,21,43,32
Providence RI-New Bedford MA,7,27,12,10,25,25,21,48,33,32,46,31,36,29
Quincy IL-Hannibal MO-Keokuk IA,15,91,31,11,15,27,31,26,23,30,27,40,25,26
Raleigh-Durham (Fayetteville) NC,6,40,15,16,33,28,22,38,31,35,32,24,26,18
Rapid City SD,,,16,18,19,46,19,25,19,41,14,26,37,26
Reno NV,7,10,5,4,18,14,13,23,19,18,25,17,20,18
Richmond-Petersburg VA,8,14,12,12,25,31,26,40,31,36,34,23,29,19
Roanoke-Lynchburg VA,5,31,13,13,29,39,20,50,28,42,14,7,40,28
Rochester MN-Mason City IA-Austin MN,4,20,13,16,16,25,12,35,20,36,24,31,17,19
Rochester NY,5,17,7,8,21,15,17,29,18,30,32,31,33,32
Rockford IL,,,32,19,36,10,44,38,25,48,41,30,27,21
Sacramento-Stockton-Modesto CA,5,22,7,7,16,14,13,27,20,21,24,20,21,14
Salisbury MD,,35,33,21,39,21,37,62,24,40,30,27,32,24
Salt Lake City UT,3,14,10,8,15,16,14,21,11,20,18,16,18,16
San Angelo TX,44,77,,9,37,16,27,54,50,41,31,25,25,25
San Antonio TX,2,,7,6,16,21,15,28,21,31,24,21,25,17
San Diego CA,2,7,6,4,9,9,11,19,15,19,19,15,15,11
San Francisco-Oakland-San Jose CA,3,15,7,5,9,7,5,23,18,21,22,19,19,14
Santa Barbara-Santa Maria-San Luis Obispo CA,4,16,7,6,16,19,15,31,16,23,21,18,18,17
Savannah GA,9,11,5,11,10,13,14,33,20,29,24,19,19,14
Seattle-Tacoma WA,3,9,7,6,16,12,12,18,13,18,18,17,17,13
Sherman TX-Ada OK,,,43,10,47,34,31,30,30,35,27,26,36,28
Shreveport LA,,26,10,10,11,9,18,20,15,29,23,23,27,18
Sioux City IA,,28,9,8,8,15,14,19,10,25,18,22,19,14
Sioux Falls(Mitchell) SD,6,10,11,12,16,14,14,24,18,27,21,27,21,23
South Bend-Elkhart IN,9,31,9,9,17,21,17,31,35,36,42,25,36,23
Spokane WA,3,18,11,13,27,21,18,22,25,31,27,29,34,17
Springfield MO,6,48,20,18,35,22,28,42,32,47,52,28,40,34
Springfield-Holyoke MA,5,16,16,12,27,23,19,43,30,45,46,33,35,46
St. Joseph MO,,,,32,36,,24,36,8,62,21,22,15,17
St. Louis MO,4,18,11,12,28,20,20,23,25,36,36,23,23,18
Syracuse NY,3,22,14,10,24,27,23,50,40,50,47,39,40,41
Tallahassee FL-Thomasville GA,6,34,9,12,23,28,18,33,24,30,31,19,25,18
Tampa-St. Petersburg (Sarasota) FL,7,21,11,11,25,20,15,27,22,24,21,17,16,11
Terre Haute IN,15,,11,10,23,17,19,25,20,39,28,22,18,23
Toledo OH,5,21,8,6,16,22,10,36,21,46,34,24,30,27
Topeka KS,15,19,10,13,35,18,16,34,19,42,40,26,32,25
Traverse City-Cadillac MI,9,24,17,10,24,22,16,43,35,70,56,52,54,55
Tri-Cities TN-VA,5,24,13,10,16,17,24,28,22,28,28,27,25,17
Tucson (Sierra Vista) AZ,2,17,9,8,23,13,16,25,18,29,26,25,27,19
Tulsa OK,10,17,6,17,28,26,12,33,21,37,29,17,29,23
Twin Falls ID,36,100,33,14,57,23,20,92,23,32,36,41,30,25
Tyler-Longview(Lufkin & Nacogdoches) TX,10,,38,12,20,16,17,21,24,22,25,19,29,17
Utica NY,,65,21,8,41,32,15,51,41,54,45,47,46,56
Victoria TX,,,,,,,,,,,,,,
Waco-Temple-Bryan TX,7,28,11,6,11,15,13,17,19,23,37,23,21,14
Washington DC (Hagerstown MD),4,15,10,7,17,13,10,33,27,33,29,23,26,20
Watertown NY,,,29,18,46,45,39,59,65,65,51,36,61,44
Wausau-Rhinelander WI,13,27,13,19,25,39,33,59,34,63,36,32,47,32
West Palm Beach-Ft. Pierce FL,8,5,12,8,24,24,12,31,24,32,26,19,14,11
Wheeling WV-Steubenville OH,25,,,11,21,36,26,31,5,28,44,46,35,37
Wichita Falls TX & Lawton OK,,,,11,25,31,26,45,28,39,40,31,28,30
Wichita-Hutchinson KS,5,,3,15,18,19,33,32,23,28,35,26,39,23
Wilkes Barre-Scranton PA,11,29,22,20,52,32,35,100,67,55,60,45,58,47
Wilmington NC,21,75,20,8,20,23,21,31,17,31,40,16,13,13
Yakima-Pasco-Richland-Kennewick WA,16,16,13,9,18,23,17,30,28,27,30,22,30,18
Youngstown OH,15,,7,8,16,24,23,31,31,66,49,34,39,43
Yuma AZ-El Centro CA,,,27,22,,61,,41,26,61,48,41,25,25
Zanesville OH,,,,39,26,,,42,,15,40,31,34,30
