fip,year,Percent_Insured
1001,2000,NA
1001,2001,NA
1001,2002,NA
1001,2003,NA
1001,2004,NA
1001,2005,86
1001,2006,86
1001,2007,86.3
1001,2008,86.7
1001,2009,86
1001,2010,86.4
1001,2011,86.1
1001,2012,87.2
1001,2013,86.6
1001,2014,89
1001,2015,90.6
1001,2016,91.5
1001,2017,91.3
1003,2000,NA
1003,2001,NA
1003,2002,NA
1003,2003,NA
1003,2004,NA
1003,2005,79.1
1003,2006,79.9
1003,2007,81.7
1003,2008,83.6
1003,2009,83.4
1003,2010,80.9
1003,2011,83.4
1003,2012,84.2
1003,2013,82.6
1003,2014,83.9
1003,2015,88.5
1003,2016,89.3
1003,2017,88.7
1005,2000,NA
1005,2001,NA
1005,2002,NA
1005,2003,NA
1005,2004,NA
1005,2005,84.9
1005,2006,83.8
1005,2007,86.5
1005,2008,82.4
1005,2009,82.1
1005,2010,81.5
1005,2011,81.1
1005,2012,82.5
1005,2013,82.5
1005,2014,84.7
1005,2015,86.7
1005,2016,87.5
1005,2017,87.8
1007,2000,NA
1007,2001,NA
1007,2002,NA
1007,2003,NA
1007,2004,NA
1007,2005,82.3
1007,2006,85
1007,2007,83.5
1007,2008,82
1007,2009,82.2
1007,2010,82.3
1007,2011,84
1007,2012,84.9
1007,2013,84.9
1007,2014,86.4
1007,2015,88.1
1007,2016,90.3
1007,2017,89.8
1009,2000,NA
1009,2001,NA
1009,2002,NA
1009,2003,NA
1009,2004,NA
1009,2005,79.2
1009,2006,80
1009,2007,81.7
1009,2008,80.6
1009,2009,82.2
1009,2010,80.7
1009,2011,81.9
1009,2012,81.7
1009,2013,82.4
1009,2014,83.5
1009,2015,86
1009,2016,87.9
1009,2017,86.6
1011,2000,NA
1011,2001,NA
1011,2002,NA
1011,2003,NA
1011,2004,NA
1011,2005,83
1011,2006,81.9
1011,2007,85
1011,2008,80.9
1011,2009,80.6
1011,2010,83.8
1011,2011,84.3
1011,2012,82.5
1011,2013,81.2
1011,2014,82.7
1011,2015,85.5
1011,2016,86.8
1011,2017,88.6
1013,2000,NA
1013,2001,NA
1013,2002,NA
1013,2003,NA
1013,2004,NA
1013,2005,85.5
1013,2006,85.5
1013,2007,85.6
1013,2008,82.9
1013,2009,82.1
1013,2010,82.9
1013,2011,83.6
1013,2012,83.4
1013,2013,84.3
1013,2014,85.6
1013,2015,87.8
1013,2016,89.3
1013,2017,88.8
1015,2000,NA
1015,2001,NA
1015,2002,NA
1015,2003,NA
1015,2004,NA
1015,2005,86.7
1015,2006,86.4
1015,2007,86.9
1015,2008,84.6
1015,2009,84.5
1015,2010,83.9
1015,2011,83.1
1015,2012,84.7
1015,2013,84
1015,2014,85.8
1015,2015,88.6
1015,2016,88.8
1015,2017,88.1
1017,2000,NA
1017,2001,NA
1017,2002,NA
1017,2003,NA
1017,2004,NA
1017,2005,86.6
1017,2006,87.1
1017,2007,87.1
1017,2008,83
1017,2009,81.3
1017,2010,81.2
1017,2011,82.1
1017,2012,84
1017,2013,83.2
1017,2014,85.1
1017,2015,86.7
1017,2016,89.3
1017,2017,88.1
1019,2000,NA
1019,2001,NA
1019,2002,NA
1019,2003,NA
1019,2004,NA
1019,2005,81.7
1019,2006,82.5
1019,2007,83.8
1019,2008,82.9
1019,2009,82.2
1019,2010,81.2
1019,2011,82.8
1019,2012,83.3
1019,2013,83.5
1019,2014,85.4
1019,2015,88.3
1019,2016,88.1
1019,2017,88.8
1021,2000,NA
1021,2001,NA
1021,2002,NA
1021,2003,NA
1021,2004,NA
1021,2005,81.8
1021,2006,82.8
1021,2007,83.4
1021,2008,81
1021,2009,80.7
1021,2010,80
1021,2011,79.8
1021,2012,80.8
1021,2013,80.8
1021,2014,82.3
1021,2015,84.8
1021,2016,85.8
1021,2017,86.2
1023,2000,NA
1023,2001,NA
1023,2002,NA
1023,2003,NA
1023,2004,NA
1023,2005,82.3
1023,2006,82.8
1023,2007,85.3
1023,2008,84.1
1023,2009,81.7
1023,2010,82.1
1023,2011,82.4
1023,2012,83.9
1023,2013,84
1023,2014,85.7
1023,2015,88.2
1023,2016,88.7
1023,2017,88.7
1025,2000,NA
1025,2001,NA
1025,2002,NA
1025,2003,NA
1025,2004,NA
1025,2005,85.7
1025,2006,85.9
1025,2007,84
1025,2008,83.2
1025,2009,83.2
1025,2010,83.4
1025,2011,81.6
1025,2012,83
1025,2013,84.2
1025,2014,84.9
1025,2015,87.4
1025,2016,88.6
1025,2017,88.1
1027,2000,NA
1027,2001,NA
1027,2002,NA
1027,2003,NA
1027,2004,NA
1027,2005,81.8
1027,2006,82.2
1027,2007,84
1027,2008,83.5
1027,2009,82
1027,2010,81.2
1027,2011,80.8
1027,2012,81.2
1027,2013,80.7
1027,2014,82.2
1027,2015,85.6
1027,2016,86.6
1027,2017,86.1
1029,2000,NA
1029,2001,NA
1029,2002,NA
1029,2003,NA
1029,2004,NA
1029,2005,82.2
1029,2006,82.9
1029,2007,84.8
1029,2008,82.4
1029,2009,82.1
1029,2010,82.4
1029,2011,83.3
1029,2012,84
1029,2013,83.3
1029,2014,85.7
1029,2015,87.9
1029,2016,88.1
1029,2017,86.7
1031,2000,NA
1031,2001,NA
1031,2002,NA
1031,2003,NA
1031,2004,NA
1031,2005,82.8
1031,2006,82.9
1031,2007,84.3
1031,2008,84.3
1031,2009,84.4
1031,2010,81.9
1031,2011,82.7
1031,2012,84
1031,2013,83.3
1031,2014,85
1031,2015,88.1
1031,2016,89.2
1031,2017,88
1033,2000,NA
1033,2001,NA
1033,2002,NA
1033,2003,NA
1033,2004,NA
1033,2005,85.1
1033,2006,85.3
1033,2007,86
1033,2008,84.3
1033,2009,83.8
1033,2010,85.3
1033,2011,85
1033,2012,85.7
1033,2013,85.5
1033,2014,87
1033,2015,89.4
1033,2016,90.3
1033,2017,90.3
1035,2000,NA
1035,2001,NA
1035,2002,NA
1035,2003,NA
1035,2004,NA
1035,2005,84.3
1035,2006,84.7
1035,2007,86.8
1035,2008,85
1035,2009,83.2
1035,2010,81.4
1035,2011,81
1035,2012,81.8
1035,2013,81.6
1035,2014,83.4
1035,2015,85.3
1035,2016,87.2
1035,2017,88
1037,2000,NA
1037,2001,NA
1037,2002,NA
1037,2003,NA
1037,2004,NA
1037,2005,81.5
1037,2006,82.6
1037,2007,84.6
1037,2008,84.6
1037,2009,83.9
1037,2010,83.2
1037,2011,83.9
1037,2012,83.3
1037,2013,82.6
1037,2014,84.5
1037,2015,86.5
1037,2016,86.7
1037,2017,87
1039,2000,NA
1039,2001,NA
1039,2002,NA
1039,2003,NA
1039,2004,NA
1039,2005,83.9
1039,2006,84.1
1039,2007,85.2
1039,2008,83.8
1039,2009,81.3
1039,2010,82.5
1039,2011,82.3
1039,2012,82.7
1039,2013,83
1039,2014,84.6
1039,2015,87.7
1039,2016,87.7
1039,2017,87.9
1041,2000,NA
1041,2001,NA
1041,2002,NA
1041,2003,NA
1041,2004,NA
1041,2005,81.4
1041,2006,82.4
1041,2007,82.7
1041,2008,81.7
1041,2009,81.6
1041,2010,81.1
1041,2011,80.8
1041,2012,83.6
1041,2013,83.3
1041,2014,83.7
1041,2015,87.2
1041,2016,88.5
1041,2017,87.7
1043,2000,NA
1043,2001,NA
1043,2002,NA
1043,2003,NA
1043,2004,NA
1043,2005,81.1
1043,2006,81.2
1043,2007,84
1043,2008,82.3
1043,2009,81.2
1043,2010,81.1
1043,2011,82.1
1043,2012,81.9
1043,2013,81.2
1043,2014,83.6
1043,2015,85.9
1043,2016,87.2
1043,2017,87.3
1045,2000,NA
1045,2001,NA
1045,2002,NA
1045,2003,NA
1045,2004,NA
1045,2005,84.9
1045,2006,84.8
1045,2007,85.5
1045,2008,86.3
1045,2009,83.7
1045,2010,85.1
1045,2011,84.4
1045,2012,85.3
1045,2013,85.1
1045,2014,86.2
1045,2015,88.5
1045,2016,89
1045,2017,90.3
1047,2000,NA
1047,2001,NA
1047,2002,NA
1047,2003,NA
1047,2004,NA
1047,2005,89.2
1047,2006,89.6
1047,2007,88.6
1047,2008,84.8
1047,2009,83.3
1047,2010,83.9
1047,2011,84.1
1047,2012,85.5
1047,2013,85.6
1047,2014,85.7
1047,2015,87.9
1047,2016,89.6
1047,2017,89.6
1049,2000,NA
1049,2001,NA
1049,2002,NA
1049,2003,NA
1049,2004,NA
1049,2005,78.5
1049,2006,79.4
1049,2007,82.4
1049,2008,79.9
1049,2009,79.6
1049,2010,76.5
1049,2011,76.7
1049,2012,78.3
1049,2013,77.1
1049,2014,79.1
1049,2015,82.4
1049,2016,83.4
1049,2017,82.7
1051,2000,NA
1051,2001,NA
1051,2002,NA
1051,2003,NA
1051,2004,NA
1051,2005,86.1
1051,2006,84.2
1051,2007,84.9
1051,2008,84.9
1051,2009,85.8
1051,2010,85.7
1051,2011,86
1051,2012,86.8
1051,2013,87.7
1051,2014,88.5
1051,2015,90.7
1051,2016,91.5
1051,2017,91.3
1053,2000,NA
1053,2001,NA
1053,2002,NA
1053,2003,NA
1053,2004,NA
1053,2005,83.5
1053,2006,84
1053,2007,84.9
1053,2008,79.7
1053,2009,81.1
1053,2010,80.5
1053,2011,80.7
1053,2012,80.4
1053,2013,81.3
1053,2014,83
1053,2015,84.5
1053,2016,86.8
1053,2017,85.6
1055,2000,NA
1055,2001,NA
1055,2002,NA
1055,2003,NA
1055,2004,NA
1055,2005,84.4
1055,2006,84.1
1055,2007,86.3
1055,2008,83.1
1055,2009,82.8
1055,2010,81.7
1055,2011,83.1
1055,2012,83.3
1055,2013,83.9
1055,2014,85.4
1055,2015,88
1055,2016,88.5
1055,2017,87.5
1057,2000,NA
1057,2001,NA
1057,2002,NA
1057,2003,NA
1057,2004,NA
1057,2005,86
1057,2006,84.8
1057,2007,86.7
1057,2008,83.7
1057,2009,83.3
1057,2010,83.1
1057,2011,84.1
1057,2012,84.6
1057,2013,84.5
1057,2014,85.4
1057,2015,88.1
1057,2016,89.2
1057,2017,88.5
1059,2000,NA
1059,2001,NA
1059,2002,NA
1059,2003,NA
1059,2004,NA
1059,2005,80
1059,2006,80.8
1059,2007,82.7
1059,2008,80.7
1059,2009,80.1
1059,2010,76.8
1059,2011,79
1059,2012,79.9
1059,2013,79.6
1059,2014,80.1
1059,2015,83.6
1059,2016,86.9
1059,2017,84.7
1061,2000,NA
1061,2001,NA
1061,2002,NA
1061,2003,NA
1061,2004,NA
1061,2005,81.3
1061,2006,82
1061,2007,85.4
1061,2008,82.4
1061,2009,80
1061,2010,80.3
1061,2011,81.6
1061,2012,81
1061,2013,80.6
1061,2014,82.8
1061,2015,84.3
1061,2016,85.9
1061,2017,85.9
1063,2000,NA
1063,2001,NA
1063,2002,NA
1063,2003,NA
1063,2004,NA
1063,2005,84.9
1063,2006,85.1
1063,2007,87.4
1063,2008,84.6
1063,2009,82.8
1063,2010,81.9
1063,2011,82.3
1063,2012,84
1063,2013,82.9
1063,2014,84.9
1063,2015,87.9
1063,2016,88.9
1063,2017,88.6
1065,2000,NA
1065,2001,NA
1065,2002,NA
1065,2003,NA
1065,2004,NA
1065,2005,85.4
1065,2006,85.3
1065,2007,86.2
1065,2008,83.2
1065,2009,82.1
1065,2010,83.4
1065,2011,80.9
1065,2012,83.9
1065,2013,83.8
1065,2014,86
1065,2015,87.9
1065,2016,88.8
1065,2017,89.4
1067,2000,NA
1067,2001,NA
1067,2002,NA
1067,2003,NA
1067,2004,NA
1067,2005,80.8
1067,2006,81
1067,2007,82.8
1067,2008,83.6
1067,2009,82.3
1067,2010,81.7
1067,2011,82.6
1067,2012,83.3
1067,2013,82.9
1067,2014,84.9
1067,2015,86.5
1067,2016,88.3
1067,2017,87.8
1069,2000,NA
1069,2001,NA
1069,2002,NA
1069,2003,NA
1069,2004,NA
1069,2005,85.9
1069,2006,85.1
1069,2007,86.2
1069,2008,84.9
1069,2009,83.2
1069,2010,83.3
1069,2011,83.8
1069,2012,83.6
1069,2013,84.1
1069,2014,86.5
1069,2015,88.3
1069,2016,88.9
1069,2017,88.9
1071,2000,NA
1071,2001,NA
1071,2002,NA
1071,2003,NA
1071,2004,NA
1071,2005,84.3
1071,2006,84.6
1071,2007,86
1071,2008,83.8
1071,2009,83.3
1071,2010,81.4
1071,2011,81.6
1071,2012,82.9
1071,2013,82.1
1071,2014,84.3
1071,2015,86.2
1071,2016,87.4
1071,2017,86.9
1073,2000,NA
1073,2001,NA
1073,2002,NA
1073,2003,NA
1073,2004,NA
1073,2005,86.9
1073,2006,86.7
1073,2007,88
1073,2008,85.9
1073,2009,85.7
1073,2010,83.9
1073,2011,84.9
1073,2012,85.5
1073,2013,85.4
1073,2014,87.4
1073,2015,88.7
1073,2016,90.1
1073,2017,90
1075,2000,NA
1075,2001,NA
1075,2002,NA
1075,2003,NA
1075,2004,NA
1075,2005,83
1075,2006,82.3
1075,2007,84.5
1075,2008,83.3
1075,2009,82.4
1075,2010,82.7
1075,2011,83.2
1075,2012,83.1
1075,2013,84
1075,2014,86
1075,2015,87.4
1075,2016,88.9
1075,2017,88.5
1077,2000,NA
1077,2001,NA
1077,2002,NA
1077,2003,NA
1077,2004,NA
1077,2005,82.5
1077,2006,81.9
1077,2007,84.5
1077,2008,84.3
1077,2009,83.9
1077,2010,84.8
1077,2011,84.8
1077,2012,83.7
1077,2013,85
1077,2014,86.3
1077,2015,88.8
1077,2016,90.1
1077,2017,88.7
1079,2000,NA
1079,2001,NA
1079,2002,NA
1079,2003,NA
1079,2004,NA
1079,2005,83.3
1079,2006,83.9
1079,2007,85.5
1079,2008,83.1
1079,2009,81.9
1079,2010,81
1079,2011,82.3
1079,2012,81.8
1079,2013,81.9
1079,2014,83.9
1079,2015,86.4
1079,2016,86
1079,2017,86
1081,2000,NA
1081,2001,NA
1081,2002,NA
1081,2003,NA
1081,2004,NA
1081,2005,77.3
1081,2006,77
1081,2007,79
1081,2008,87.2
1081,2009,84.4
1081,2010,84.2
1081,2011,83.2
1081,2012,84.7
1081,2013,83.9
1081,2014,86.6
1081,2015,88.5
1081,2016,89.5
1081,2017,89.6
1083,2000,NA
1083,2001,NA
1083,2002,NA
1083,2003,NA
1083,2004,NA
1083,2005,83.8
1083,2006,84
1083,2007,83.7
1083,2008,84.6
1083,2009,84.4
1083,2010,83.3
1083,2011,83.6
1083,2012,84
1083,2013,84
1083,2014,85.6
1083,2015,87.9
1083,2016,88.9
1083,2017,89
1085,2000,NA
1085,2001,NA
1085,2002,NA
1085,2003,NA
1085,2004,NA
1085,2005,84.6
1085,2006,85.1
1085,2007,82.1
1085,2008,84
1085,2009,82.8
1085,2010,83
1085,2011,82.6
1085,2012,84.5
1085,2013,84.5
1085,2014,85.6
1085,2015,88
1085,2016,88.6
1085,2017,89.2
1087,2000,NA
1087,2001,NA
1087,2002,NA
1087,2003,NA
1087,2004,NA
1087,2005,86.3
1087,2006,85.9
1087,2007,86.3
1087,2008,85.6
1087,2009,83.2
1087,2010,83.6
1087,2011,84.3
1087,2012,84.7
1087,2013,84.1
1087,2014,87
