year,fip,Poverty_Percent,Income_MedianForHousehold
2017,1001,13.4,58343
2017,1003,10.1,56607
2017,1005,33.4,32490
2017,1007,20.2,45795
2017,1009,12.8,48253
2017,1011,34.4,29113
2017,1013,21.3,36842
2017,1015,17.7,45937
2017,1017,18.2,36883
2017,1019,17.2,44842
2017,1021,16.8,46405
2017,1023,23.7,36711
2017,1025,23.3,36719
2017,1027,18.1,39642
2017,1029,16.1,45480
2017,1031,15.5,51998
2017,1033,15.4,46100
2017,1035,23.7,30796
2017,1037,17.4,42442
2017,1039,17.7,39093
2017,1041,19.9,38419
2017,1043,13.8,45925
2017,1045,17.7,42572
2017,1047,27.9,31329
2017,1049,19.5,39906
2017,1051,12,59652
2017,1053,23.3,37870
2017,1055,18.1,41791
2017,1057,19.4,39394
2017,1059,20.5,41025
2017,1061,21.7,38561
2017,1063,33.2,28108
2017,1065,25.1,34905
2017,1067,17,48094
2017,1069,16.6,44753
2017,1071,16.6,42658
2017,1073,16.7,50731
2017,1075,18.7,39796
2017,1077,13.7,46646
2017,1079,16.8,42912
2017,1081,17.8,51372
2017,1083,11.9,57342
2017,1085,25.9,33130
2017,1087,30.6,30849
2017,1089,12.8,62750
2017,1091,22.8,37469
2017,1093,19.3,38049
2017,1095,20.1,42751
2017,1097,19.7,45615
2017,1099,23.8,36432
2017,1101,21.3,45833
2017,1103,14.8,49274
2017,1105,37.2,26703
2017,1107,22.3,38379
2017,1109,27.7,40680
2017,1111,17,41112
2017,1113,23.2,36186
2017,1115,13.5,52755
2017,1117,7.4,74098
2017,1119,35.9,26495
2017,1121,18.3,41733
2017,1123,18.3,44469
2017,1125,15.9,51644
2017,1127,17.4,41925
2017,1129,20.2,44249
2017,1131,32,25700
2017,1133,21.3,38562
2017,2013,14.6,69375
2017,2016,8.1,80290
2017,2020,9.6,78579
2017,2050,28.7,45582
2017,2060,10.9,70094
2017,2068,8,73220
2017,2070,20.8,52641
2017,2090,7.4,74241
2017,2100,11.4,53413
2017,2105,17.6,50573
2017,2110,8.3,90436
2017,2122,10.2,63559
2017,2130,9.9,71298
2017,2150,7.5,71118
2017,2158,37.5,31250
2017,2164,15.7,47644
2017,2170,11.3,72296
2017,2180,23.2,53877
2017,2185,12.2,82736
2017,2188,26,53060
2017,2195,7.4,59176
2017,2198,18.5,46488
2017,2220,8.1,69501
2017,2230,4.3,66991
2017,2240,12.8,59382
2017,2261,9.2,86196
2017,2275,12.4,55696
2017,2282,15.3,59955
2017,2290,23.2,37907
2017,4001,33.1,33053
2017,4003,16.1,48966
2017,4005,18.4,54399
2017,4007,24.1,38897
2017,4009,20.9,46378
2017,4011,10.1,63557
2017,4012,20.9,36389
2017,4013,13.5,62221
2017,4015,17.3,42210
2017,4017,26.4,40883
2017,4019,16.6,51392
2017,4021,13,53114
2017,4023,23.6,39265
2017,4025,13.9,49860
2017,4027,19,46013
2017,5001,19.9,43752
2017,5003,19.8,40495
2017,5005,13.9,43011
2017,5007,9.1,64728
2017,5009,14.9,41770
2017,5011,20.9,35950
2017,5013,15.2,42484
2017,5015,16.4,38297
2017,5017,30.1,31810
2017,5019,21.4,40536
2017,5021,18.1,35164
2017,5023,15.6,43170
2017,5025,14.3,47812
2017,5027,25.5,38488
2017,5029,17.2,43519
2017,5031,14.9,49355
2017,5033,17.5,44850
2017,5035,21.1,39272
2017,5037,18.4,41661
2017,5039,21,33739
2017,5041,29,33228
2017,5043,20.3,41339
2017,5045,13.4,51535
2017,5047,18,41140
2017,5049,20.6,35723
2017,5051,15.9,44662
2017,5053,12.2,54819
2017,5055,14.8,46029
2017,5057,24.2,39505
2017,5059,16.8,42329
2017,5061,19.1,36744
2017,5063,15.9,42332
2017,5065,19.3,37958
2017,5067,22.2,36235
2017,5069,23.5,38677
2017,5071,18.4,39798
2017,5073,24.1,33378
2017,5075,16.9,40777
2017,5077,37.3,28875
2017,5079,23.4,43821
2017,5081,17,42063
2017,5083,20.5,37676
2017,5085,11.1,54378
2017,5087,17,40568
2017,5089,18.3,39539
2017,5091,18.8,44325
2017,5093,24.3,39678
2017,5095,27.3,32427
2017,5097,21.1,35500
2017,5099,19.5,46687
2017,5101,19.8,34036
2017,5103,19.9,39576
2017,5105,15.1,44118
2017,5107,39.8,27663
2017,5109,18.5,37493
2017,5111,21,39778
2017,5113,23.3,35678
2017,5115,16.7,45803
2017,5117,16.1,43139
2017,5119,15,52361
2017,5121,19.4,35989
2017,5123,33.7,31561
2017,5125,7.9,61384
2017,5127,20.6,33354
2017,5129,21.6,30640
2017,5131,18.6,44058
2017,5133,19.5,41649
2017,5135,23.9,34266
2017,5137,21.2,32778
2017,5139,17.5,43827
2017,5141,19.8,36244
2017,5143,13.8,50400
2017,5145,15.2,44088
2017,5147,26.8,32271
2017,5149,18.8,40325
2017,6001,9.3,95550
2017,6003,18.1,55755
2017,6005,10.9,60588
2017,6007,18.1,48634
2017,6009,13.1,58536
2017,6011,12.2,53595
2017,6013,9.1,95062
2017,6015,24.6,39996
2017,6017,8.3,78464
2017,6019,21.1,51452
2017,6021,14.8,49979
2017,6023,19.7,46123
2017,6025,20.7,43413
2017,6027,11.8,53528
