fip,POPESTIMATE1990,POPESTIMATE1991,POPESTIMATE1992,POPESTIMATE1993,POPESTIMATE1994,POPESTIMATE1995,POPESTIMATE1996,POPESTIMATE1997,POPESTIMATE1998,POPESTIMATE1999,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
1001,34356,35018,36002,36976,38218,39154,40251,41293,42193,43140,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54750,55199,54927,54695,54864,54838,55278,55504
1003,98921,102229,106228,110873,115834,119962,124261,128770,132857,135820,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183110,186534,190048,194736,199064,202863,207509,212628
1005,25452,26227,26435,26637,26788,26665,26866,26747,26936,26726,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27332,27351,27175,26947,26749,26264,25774,25270
1007,16675,16956,17191,17447,17643,17988,18256,18639,18987,19601,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22872,22745,22658,22503,22533,22561,22633,22668
1009,39410,39868,40230,40992,41363,42586,43544,44897,46292,47411,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57381,57562,57595,57623,57546,57590,57562,58013
1011,11022,11139,11032,11085,11191,11209,11307,11310,11325,11343,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10880,10675,10612,10549,10673,10419,10441,10309
1013,21884,21742,21772,21781,21811,21773,21801,21769,21658,21522,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20944,20880,20688,20372,20327,20141,19965,19825
1015,116115,115218,115749,116250,116078,116687,116577,117132,117083,116541,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118466,117785,117219,116482,115941,115505,114980,114728
1017,36882,36902,37025,36997,37032,37133,36857,36640,36706,36369,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34122,34031,34092,34122,33948,33968,33717,33713
1019,19603,19676,19814,20174,20497,20958,21281,21601,21827,21894,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25973,25993,25958,26014,25897,25741,25766,25857
